id,name
10069009,"Giant cell tumor of bone, malignant (morphologic abnormality)"
1014611000000103,Squamous cell carcinoma antigen level (observable entity)
1025781000000106,Recurrent squamous cell carcinoma (disorder)
105111000119109,Primary squamous cell carcinoma of thymus (disorder)
1051141000000100,Hereditary nonpolyposis colon cancer
105121000119102,Squamous cell carcinoma of vagina (disorder)
1054001000000101,Invasive carcinoma of uterine cervix co-occurrent with human immunodeficiency virus infection (disorder)
10708511000119108,Primary malignant neoplasm of uterus (disorder)
10745291000119103,Malignant neoplastic disease in mother complicating childbirth (disorder)
10749871000119100,Malignant neoplastic disease in pregnancy (disorder)
107581000119103,Astrocytoma of brain stem (disorder)
107591000119100,Primary squamous cell carcinoma of urethra (disorder)
107601000119107,Primary transitional cell carcinoma of urethra (disorder)
107691000119101,Non-seminomatous germ cell neoplasm of testis (disorder)
107751000119102,Primary malignant mixed Mullerian neoplasm of endometrium (disorder)
107771000119106,Primary malignant clear cell neoplasm of endometrium (disorder)
107781000119109,Primary papillary serous cystadenocarcinoma of endometrium (disorder)
107791000119107,Primary adenosquamous carcinoma of endometrium (disorder)
1078881000119102,Primary adenocarcinoma of lower lobe of left lung (disorder)
1078901000119100,Primary adenocarcinoma of upper lobe of left lung (disorder)
1078931000119107,Primary adenocarcinoma of lower lobe of right lung (disorder)
1078961000119104,Primary adenocarcinoma of upper lobe of right lung (disorder)
1079091000119100,Primary basal cell carcinoma of left upper limb (disorder)
1079101000119105,Primary basal cell carcinoma of left ear (disorder)
1079111000119108,Primary basal cell carcinoma of left eyelid (disorder)
1079131000119103,Primary basal cell carcinoma of left lower limb (disorder)
1079151000119109,Primary basal cell carcinoma of right upper limb (disorder)
1079161000119106,Primary basal cell carcinoma of right ear (disorder)
1079171000119100,Primary basal cell carcinoma of right eyelid (disorder)
1079191000119104,Primary basal cell carcinoma of right lower limb (disorder)
1080111000119108,Infiltrating ductal carcinoma of central portion of left female breast (disorder)
1080151000119109,Infiltrating ductal carcinoma of upper inner quadrant of left female breast (disorder)
1080161000119106,Infiltrating ductal carcinoma of upper outer quadrant of left female breast (disorder)
1080191000119104,Infiltrating ductal carcinoma of central portion of right female breast (disorder)
1080231000119108,Infiltrating ductal carcinoma of upper inner quadrant of right female breast (disorder)
1080241000119104,Infiltrating ductal carcinoma of upper outer quadrant of right female breast (disorder)
1080261000119100,Infiltrating lobular carcinoma of left female breast (disorder)
1080341000119105,Infiltrating lobular carcinoma of right female breast (disorder)
1080941000119109,Malignant melanoma of left choroid (disorder)
1080981000119104,Malignant melanoma of right choroid (disorder)
1081021000119109,Malignant melanoma of skin of left lower limb (disorder)
1081551000119106,Recurrent primary malignant neoplasm of left female breast (disorder)
1081561000119108,Recurrent primary malignant neoplasm of right female breast (disorder)
1081711000119104,Primary sarcoma of left lower limb (disorder)
1081751000119103,Primary sarcoma of right lower limb (disorder)
1081781000119105,Primary seminoma of left testis (disorder)
1081811000119107,Primary seminoma of right testis (disorder)
1082071000119102,Primary squamous cell carcinoma of left ear (disorder)
1082101000119106,Primary squamous cell carcinoma of skin of left lower limb (disorder)
1082191000119100,Primary squamous cell carcinoma of right ear (disorder)
1082221000119106,Primary squamous cell carcinoma of skin of right lower limb (disorder)
1082281000119105,Transitional cell carcinoma of left renal pelvis (disorder)
1082291000119108,Transitional cell carcinoma of left ureter (disorder)
1082301000119109,Transitional cell carcinoma of right renal pelvis (disorder)
1082311000119107,Transitional cell carcinoma of right ureter (disorder)
1090081000000106,Secondary malignant neoplasm of paratracheal lymph nodes (disorder)
1090091000000108,Secondary malignant neoplasm of internal mammary lymph nodes (disorder)
1090101000000100,Secondary malignant neoplasm of supratrochlear lymph nodes (disorder)
1090121000000109,Secondary malignant neoplasm of deep cervical lymph nodes (disorder)
1090131000000106,Secondary malignant neoplasm of anterior cervical lymph nodes (disorder)
1090141000000102,Secondary malignant neoplasm of superficial cervical lymph nodes (disorder)
1090151000000104,Secondary malignant neoplasm of mastoid lymph nodes (disorder)
1090161000000101,Secondary malignant neoplasm of diaphragmatic lymph nodes (disorder)
1090171000000108,Secondary malignant neoplasm of sacral lymph nodes (disorder)
1090181000000105,Secondary malignant neoplasm of inferior epigastric lymph nodes (disorder)
1090191000000107,Secondary malignant neoplasm of coeliac lymph nodes (disorder)
1090201000000109,Secondary malignant neoplasm of deep inguinal lymph nodes (disorder)
1090211000000106,Secondary malignant neoplasm of circumflex iliac lymph nodes (disorder)
1090221000000100,Secondary malignant neoplasm of internal iliac lymph nodes (disorder)
1090231000000103,Malignant neoplasm of respiratory tract (disorder)
1090251000000105,Malignant neoplasm of nose (disorder)
